Gene	Si	Koni	Koffi	SKoffi	Exi	Pij(Cell1)	Pij(Cell2)	Pij(Cell3)	Pij(Cell4)	Pij(Cell5)	Pij(Cell6)	Pij(Cell7)	Pij(Cell8)	Pij(Cell9)	Pij(Cell10)	Pij(Cell11)	Pij(Cell12)
NM_001001130	0.007912279579053964	0.00017855848497760012	0.07118762284545317	0.11114684354935346	1.979655668857618e-05	0.19809172242597867	0.9799030899282112	0.9638767848399467	0.16386541651612668	0.08634430870075685	0.9733168063400119	0.999073473069918	0.999982700345406	0.7619728820884438	0.5656991326646363	0.9993984101487217	0.1044882305294555
NM_001001144	0.03200528706188424	6.157062607641503e-05	0.05010079705459723	0.6388179219385781	3.9284141743469133e-05	0.06119683110978865	0.8295462127940328	0.3949965370340351	0.2357485541372794	0.2956662631788849	0.2573604458491248	0.3862545282764774	0.6066866375417199	0.3474625770122988	0.17328980590361187	0.7076043079379114	0.025773283201753393
NM_001001152	0.002507264347790535	9.52064629954082e-09	0.21120176831310214	0.011871417402498112	1.1302356106847229e-10	0.9481368949398737	0.9519478308793791	0.9622038162958656	0.7606318419190061	0.9888112361483753	0.695563609361587	0.539057996720711	0.9721965896090221	0.05617801665427498	0.6579393491047225	0.9973320000601933	0.9956507423657345
NM_001001160	0.015030942369239778	1.7887152458900115e-07	0.2612522979870779	0.05753420155555241	1.0291223302164081e-08	0.9910577245397418	0.9998965111797155	0.10865763033062455	0.9984544901153112	0.9987162785205511	0.9993323332603448	0.9999276906143522	0.9959102356023366	0.9949333446377089	0.996040709079022	0.990905979937643	0.991951111996808
NM_001001176	0.07195145867626021	2.1598052643489827e-06	0.33748888457931236	0.21319652872701084	4.60460038309914e-07	0.9990476569131962	0.9945671322226584	0.15853322647993023	0.8146697237965179	0.8457795168511296	0.9999390473081735	0.9920097949458561	0.997459878179628	0.9996754838281002	0.9996471353423436	0.9911490054107654	0.9988054225192475
NM_001001177	0.0008279905629829991	1.183948463860651e-05	0.3796417528869979	0.002180978663928607	2.582085814099817e-08	0.8435701894537964	0.9833843868362746	0.6947630669877611	0.5914611606695439	0.6936315004709943	0.5354354684400082	0.5241560856196726	0.49761355013994674	0.9997887065834256	0.7112762964072968	0.5237217432453753	0.5872170902386518
NM_001001179	0.031901851505898346	1.4786669841345496e-05	0.19038147579293527	0.16756804396555774	2.4775809117449114e-06	0.7810308110536825	0.6732850515134619	0.9962786123422206	0.7441118774739379	0.8466259903263714	0.16260875911661762	0.7380440433573715	0.06094753875501224	0.9906218590879224	0.15855213128321968	0.9979083916000718	0.4230925437692366
NM_001001180	0.30512337475976536	0.0007375149079283612	0.07276822858824882	4.193085096055768	0.0030614347524345834	0.7466617061324432	0.40966968421896405	0.3307642837202654	0.37973436069693517	0.33336923194944085	0.38907168529248903	0.4713298768910666	0.6851153477168032	0.4188287956790173	0.6270002888200191	0.19120214949810785	0.5067283803644592
NM_001001181	0.031514522040959086	3.463198783698314e-05	0.1612917530797581	0.19538830373661625	6.765232751936614e-06	0.4472834228618368	0.9939710230004807	0.9953607670123913	0.03823944077792661	0.991033355704045	0.569775484215468	0.7053631071094327	0.9916455851048451	0.4996520907715298	0.3674790980523214	0.673293131556841	0.8600734971796001
NM_001001182	0.00185000320313061	7.059120243748006e-06	0.2975963125554861	0.006216485638697831	4.388187871892637e-08	0.960524723640381	0.9972516280455399	0.964037450242474	0.9998468539628462	0.9961427137360253	0.5324413284601481	0.7993910821347606	0.06502659671272454	0.9797426276128636	0.5122029348949194	0.6688023779502957	0.953140793766816
